,instance_info,n_variables,qaoa_depth,1q_gates,2q_gates,runtime,execution_time,eps
0,uf20-01.cnf,20,1,222,3555,10.775919200001226,0.000706236444444448,1.5453453342010323e-08
1,uf20-02.cnf,20,1,197,3362,2.126454196004488,0.0007812871111111118,1.721195579864509e-09
2,uf20-03.cnf,20,1,219,3490,2.2583511960037868,0.0008029120000000002,2.4682966354331806e-10
3,uf20-04.cnf,20,1,237,3661,4.820732284999394,0.0007162417777777789,2.7213893803578907e-08
4,uf20-05.cnf,20,1,232,3377,2.4208071649991325,0.0007477582222222251,5.098648295649346e-09
5,uf20-06.cnf,20,1,222,3277,2.4262361910004984,0.000669059555555556,2.5812791804769967e-07
6,uf20-07.cnf,20,1,214,3455,2.27456267800153,0.000657155555555556,2.184046790142867e-09
7,uf20-08.cnf,20,1,228,3505,2.88729598899954,0.0006930453333333353,2.741462526446314e-08
8,uf20-09.cnf,20,1,210,3367,4.769200461996661,0.0007268017777777788,1.6048942938674248e-08
9,uf20-010.cnf,20,1,217,3711,2.461889489000896,0.0006442773333333312,6.64823947720706e-11
10,uuf50-01.cnf,50,1,631,13508,8.675010159997328,0.00268509511111108,4.114501245993588e-60
11,uuf50-02.cnf,50,1,623,14187,13.653531188996567,0.002786236444444404,4.943336876518439e-61
12,uuf50-03.cnf,50,1,668,13863,11.534802914000466,0.002680799999999945,4.881352402384792e-64
13,uuf50-04.cnf,50,1,660,14184,13.350645683996845,0.0028143182222221713,2.2619158090631812e-69
14,uuf50-05.cnf,50,1,689,13980,7.859337604000757,0.0028079537777777274,7.865642512800323e-61
15,uuf50-06.cnf,50,1,636,13923,12.144065073000093,0.00258685511111109,6.17792815706038e-64
16,uuf50-07.cnf,50,1,656,14165,10.184388041998318,0.002566161777777764,4.059506552860199e-54
17,uuf50-08.cnf,50,1,627,13903,7.765827293005714,0.00320830933333328,3.53300688148666e-60
18,uuf50-09.cnf,50,1,667,14130,12.868493945999944,0.0024641457777777563,9.23567072080331e-67
19,uuf50-010.cnf,50,1,683,13443,9.706843487001606,0.0027159075555555196,2.134494701527522e-57
20,uuf75-01.cnf,75,1,1099,24086,20.252765201003058,0.004154222222222095,3.797052919370147e-113
21,uuf75-02.cnf,75,1,1084,24794,17.414804845000617,0.0047524373333331735,1.607202975174859e-117
22,uuf75-03.cnf,75,1,1065,24752,17.0264870960018,0.0040533582222221564,3.2888537939962894e-122
23,uuf75-04.cnf,75,1,1023,25487,19.95580312700622,0.00465002311111097,4.8263624825910285e-117
24,uuf75-05.cnf,75,1,972,24790,15.862539701003698,0.004245187555555469,1.1366673642767991e-118
25,uuf75-06.cnf,75,1,1037,25032,19.605282532000274,0.004291217777777655,3.9843373838999035e-123
26,uuf75-07.cnf,75,1,1040,24532,16.38760557900241,0.004410293333333259,0.0
27,uuf75-08.cnf,75,1,977,24368,19.953103387000738,0.00438785066666657,5.2940324599655305e-115
28,uuf75-09.cnf,75,1,980,24344,13.371681820004596,0.00413254044444434,1.7593398789421434e-112
29,uuf75-010.cnf,75,1,1060,24943,20.157225340000878,0.00407972622222217,1.165893212865489e-126
30,uuf100-01.cnf,100,1,1370,38024,22.73950875000446,0.006179054222222091,3.56911775151985e-200
31,uuf100-02.cnf,100,1,1391,37550,27.0719038870011,0.00659462755555528,4.772223336328715e-184
32,uuf100-03.cnf,100,1,1367,37177,29.04954801799613,0.005944316444444395,0.0
33,uuf100-04.cnf,100,1,1396,39029,23.64904622600443,0.006510609777777558,0.0
34,uuf100-05.cnf,100,1,1416,38123,21.215462890999333,0.007108341333332977,0.0
35,uuf100-06.cnf,100,1,1435,37097,20.817444352003804,0.006372284444444304,0.0
36,uuf100-07.cnf,100,1,1401,36726,31.640885668995907,0.006435743999999726,0.0
37,uuf100-08.cnf,100,1,1473,37565,22.967162437002116,0.00623452088888882,3.939759297388051e-185
38,uuf100-09.cnf,100,1,1483,37498,29.21945614600554,0.0072532231111107895,0.0
39,uuf100-010.cnf,100,1,1409,37702,25.603788421998615,0.006766083555555335,2.6083436083364666e-186
