,n_variables,qaoa_depth,1q_gates,2q_gates,compile_time,execution_time,eps
0,3.0,1.0,7.5,5.0,0.13402247428894043,69.2756196840009,0.9463445500514504
1,20.0,1.0,667.0,44.0,7968.336658239365,4903.2571679751045,0.05636624567701101
2,20.0,1.0,667.0,38.0,13404.262979984283,5420.853330370068,0.056346507415952554
3,20.0,1.0,667.0,39.0,11625.97240805626,5600.542186615112,0.056339656691073596
4,20.0,1.0,667.0,44.0,3798.6438579559326,5786.682305826308,0.056332560886978994
5,20.0,1.0,667.0,43.0,11221.605153560638,5305.928580419666,0.05635088941460137
6,20.0,1.0,667.0,42.0,22081.923850774765,5200.80568768413,0.056354897973857766
7,20.0,1.0,667.0,40.0,11586.035250902176,5441.629210327296,0.05634571528285514
8,20.0,1.0,667.0,40.0,18273.291999578476,6088.560962752632,0.0563210549409931
9,20.0,1.0,667.0,41.0,6620.10317325592,5102.187936492597,0.056358658737474386
10,20.0,1.0,667.0,41.0,22904.266953468323,5811.549141552692,0.0563316130118033
